"","SITIO","LONG","LAT","VIA_SENTIDO","DATA","VMD"
"1","01385016",-38.572696,-3.712192,"AV. FRANCISCO SA [O-L]","2017-01",8765
"2","01385017",-38.572683,-3.712145,"AV. FRANCISCO SA [L-O]","2017-01",9357
"3","01385028",-38.61573,-3.818608,"AV. GEN. OSORIO DE PAIVA [N-S]","2017-01",16558
"4","01385029",-38.6156,-3.818744,"AV. GEN. OSORIO DE PAIVA [S-N]","2017-01",15843
"5","01385030",-38.57474,-3.811549,"AV. GODOFREDO MACIEL [N-S]","2017-01",19433
"6","01385031",-38.574566,-3.811758,"AV. PRES. COSTA E SILVA [L-O]","2017-01",21328
"7","01385033",-38.578873,-3.704057,"AV. PRES. CASTELO BRANCO [L-O]","2017-01",15632
"8","01385034",-38.579171,-3.704055,"AV. PRES. CASTELO BRANCO [O-L]","2017-01",16611
"9","01385035",-38.558757,-3.716957,"AV. FRANCISCO SA [O-L]","2017-01",10403
"10","01385036",-38.558746,-3.716919,"AV. FRANCISCO SA [L-O]","2017-01",9515
"11","01385039",-38.560483,-3.716327,"AV. FRANCISCO SA [L-O]","2017-01",7912
"12","01385040",-38.560716,-3.716298,"AV. FRANCISCO SA [O-L]","2017-01",7626
"13","01385041",-38.559209,-3.711123,"AV. PRES. CASTELO BRANCO [O-L]","2017-01",18556
"14","01385042",-38.558674,-3.711175,"AV. PRES. CASTELO BRANCO [L-O]","2017-01",21809
"15","01385048",-38.58424,-3.733952,"AV. DEMETRIO MENEZES [S-N]","2017-01",16083
"16","01385049",-38.584358,-3.733793,"AV. DEMETRIO MENEZES [N-S]","2017-01",16287
"17","01385050",-38.574229,-3.706097,"AV. PRES. CASTELO BRANCO [L-O]","2017-01",19862
"18","01385051",-38.57463,-3.706133,"AV. PRES. CASTELO BRANCO [O-L]","2017-01",21031
"19","01385052",-38.560973,-3.735021,"AV. BEZERRA DE MENEZES [O-L]","2017-01",19400
"20","01385053",-38.560486,-3.734759,"AV. BEZERRA DE MENEZES [L-O]","2017-01",17094
"21","01385054",-38.548416,-3.732444,"AV. BEZERRA DE MENEZES [O-L]","2017-01",23459
"22","01385060",-38.538444,-3.728982,"AV. DUQUE DE CAXIAS [L-O]","2017-01",13246
"23","01385061",-38.538624,-3.729,"AV. DUQUE DE CAXIAS [O-L]","2017-01",6933
"24","01385062",-38.521236,-3.828651,"AV. JORNALISTA THOMAZ COELHO [L-O]","2017-01",17030
"25","01385069",-38.55548,-3.755081,"AV. JOSE BASTOS [S-N]","2017-01",22806
"26","01385070",-38.555399,-3.754849,"AV. JOSE BASTOS [N-S]","2017-01",31637
"27","01385071",-38.546687,-3.761092,"R. ALBERTO MAGNO [N-S]","2017-01",20281
"28","01385072",-38.587825,-3.717609,"AV. CORONEL CARVALHO [S-N]","2017-01",10023
"29","01385074",-38.569601,-3.707902,"AV. PRES. CASTELO BRANCO [L-O]","2017-01",23877
"30","01385075",-38.569663,-3.708012,"AV. PRES. CASTELO BRANCO [O-L]","2017-01",24289
"31","01385076",-38.598054,-3.791591,"R. OSCAR ARARIPE [L-O]","2017-01",8095
"32","01385089",-38.536539,-3.734858,"AV. DOMINGOS OLIMPIO [L-O]","2017-01",18396
"33","01385096",-38.553585,-3.757064,"AV. JOAO PESSOA [S-N]","2017-01",22046
"34","01385097",-38.535967,-3.731938,"R. METON DE ALENCAR [O-L]","2017-01",9903
"35","01385098",-38.535852,-3.731906,"AV. DO IMPERADOR [N-S]","2017-01",15776
"36","01385103",-38.530021,-3.73179,"AV. DUQUE DE CAXIAS [O-L]","2017-01",10576
"37","01385104",-38.529821,-3.73178,"AV. DUQUE DE CAXIAS [L-O]","2017-01",12044
"38","01385105",-38.564167,-3.760223,"AV. JOSE BASTOS [S-N]","2017-01",25170
"39","01385107",-38.499864,-3.79707,"AV. OLIVEIRA PAIVA [L-O]","2017-01",21441
"40","01385108",-38.49986,-3.797262,"AV. DESEMBARGADOR GONZAGA [S-N]","2017-01",16703
"41","01385109",-38.508849,-3.741727,"AV. BARAO DE STUDART [S-N]","2017-01",12724
"42","01385110",-38.508768,-3.741667,"R. PADRE VALDEVINO [L-O]","2017-01",14067
"43","01385113",-38.535179,-3.730051,"AV. DUQUE DE CAXIAS [L-O]","2017-01",12152
"44","01385115",-38.495486,-3.727469,"AV. DESEMBARGADOR MOREIRA [S-N]","2017-01",7973
"45","01385116",-38.495594,-3.727367,"AV. DA ABOLICAO [O-L]","2017-01",26871
"46","01385117",-38.495233,-3.727249,"AV. DA ABOLICAO [L-O]","2017-01",23270
"47","01385118",-38.586189,-3.723891,"AV. CORONEL CARVALHO [S-N]","2017-01",13541
"48","01385119",-38.58634,-3.72368,"AV. CORONEL CARVALHO [N-S]","2017-01",10250
"49","01385124",-38.538968,-3.741061,"AV. 13 DE MAIO [L-O]","2017-01",17294
"50","01385125",-38.539239,-3.741124,"AV. DA UNIVERSIDADE [S-N]","2017-01",20492
"51","01385126",-38.539245,-3.740923,"AV. 13 DE MAIO [O-L]","2017-01",16480
"52","01385129",-38.520404,-3.7535,"AV. PONTES VIEIRA [L-O]","2017-01",23052
